sample_id,Necropsied_by,Sample_condition,Death_year,Death_month,Death_day,Death_date,Submitters_name,Address,Location,UTM_zone,UTM_easting,UTM_northing,Location precision,Animal_detailsSpecies,Sex,Age Class (estimate),Age Class (actual),Age,CC,Age Range,Aging Notes,Nutritional_condition,External_observations,Weight_kg,Total_length_mm,Length_of_tail_mm,Length_of_hindfoot_mm,Height_of_ear_notch_mm,Chest_girth_mm,Internal_observations,General_comments,Disposition_of_carcass,Necropsy_Form_Notes,Photo_Number,SI_Muscle(2),SI_Muscle(3),SI_Skin(4),SI_Skin(5),Hair_Top,Hair_Bottom,Nobuto(6),Skull(7),GI(8)_shipped_to_Nagorsen,GI(8)_frozen_prey_remains,GI(8)_dried_ETOHpreyremains,SI_Femur(9),SI_Femur(9)a,PM4(10)_shipped_to_Matson's,SI FemaleReprOrg,muscle_c13,muscle_n15,bone_c13,bone_n15,bothair_c13,bothair_n15,tophair_c13,tophair_n15,AREA,salmon,salmon_sd,coast,coast_sd
14-4859,R. Weir,Frozen,2014,1,5,05/01/2014,James Alton,QCC,Trapline TR0613T009,8,679511,5919512,<1 km,M-MACA,F,Adult,Juvenile,0,A,,,Good,,0.82,567,166,80,na,122,Lots of omental and renal fat,,HG Landfill,25S mainline,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-24.34698026,8.331847258,-21.43229254,8.785772191,-20.75490077,10.43722258,-22.16919018,9.889370104,490800,0.141441808,0.014677832,10035.67852,499.8728804
14-4860,R. Weir,Frozen,2013,12,20,20/12/2013,James Alton,QCC,Trapline TR0613T005,8,682140,5916227,<1 km,M-MACA,M,Adult,Adult,1,A,,,Excellent,,1.28,648,210,90,na,162,Lots of omental and renal fat,He's very big,HG Landfill,20S mainline,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-24.14703913,9.611488251,-21.72066939,6.188255516,-19.35727312,12.75026762,-20.90387651,11.1976893,2951400,0.555989696,0.057621471,10807.818,499.5949912
14-4861,R. Weir,Frozen,2013,12,28,28/12/2013,James Alton,QCC,Trapline TR0613T009,8,681239,5917909,<1 km,M-MACA,M,Adult,Juvenile,0,A,,BR,Excellent,missing tail - nose-sacral length: 445 mm,1.22,,,92,na,150,Lots of omental and renal fat,,HG Landfill,22S mainline,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-30.21289996,7.500179504,-22.27185776,7.215418163,-23.01207923,7.639614883,-23.77655999,6.974082898,2914800,0.28441044,0.087164073,10619.16822,499.6571221
14-4862,R. Weir,Frozen,2014,1,1,01/01/2014,James Alton,QCC,Trapline TR0613T005,8,689902,5907907,<1 km,M-MACA,M,Adult,Juvenile,0,A,,,Excellent,,1.15,640,202,88,na,145,Lots of omental and renal fat,,HG Landfill,6S mainline,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-24.48909527,7.928374674,-20.73078007,7.58809646,-22.99345726,8.281413185,-22.00943331,9.231749347,729500,1.187459608,0.02939629,4043.372826,499.2257998
14-4863,R. Weir,Frozen,2013,12,26,26/12/2013,James Alton,QCC,Trapline TR0613T005,8,686076,5914254,<1 km,M-MACA,M,Adult,Adult,2,B,2-3,,Obese,,1.25,635,217,94,na,157,"Obese: lots of omental and renal fat
Old male: worn teeth
Stomach almost empty","MT photos: 955, 956, 957, 958",HG Landfill,15S mainline,"P1000955, P1000956, P1000957, P1000958",MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-25.61327403,6.320417755,-21.01506646,6.440451514,-23.58838011,6.599288512,-24.65571287,7.040339426,3141200,0.690613721,0.069607774,11331.64326,497.6244866
14-4864,R. Weir,Frozen,2013,12,24,24/12/2013,James Alton,QCC,Trapline TR0613T005,8,683551,5915175,<1 km,M-MACA,M,Juvenile,Juvenile,0,A,,,Good,,0.98,652,220,92,na,139,"enlarged gall bladder
discolouration of liver
guts pretty empty",MT photos: 959,HG Landfill,18S mainline,P1000959,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-24.2479898,9.529409269,-21.75543822,7.069409954,-22.09960283,9.524464752,-20.61376586,13.08550587,3139900,0.708029412,0.083770493,11863.1436,483.6482397
14-4865,R. Weir,Frozen,2013,na,na,na,James Alton,QCC,Trapline TR0613T009,8,679663,5918523,Trapline,M-MACA,M,Adult,Adult,1,A,,BR,Excellent,,1.33,625,202,90,na,161,,,HG Landfill,"No info on bag

UTM is 24 S km on mainline (centre of 2 traplines (TR0613T009 and T005 - seems to be area trapped by James Alton, based on road km of carcasses)",,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-25.61523424,11.13341057,-21.19095589,7.803535146,-20.36775987,11.54380548,-23.70991295,14.45711488,3142000,0.158644956,0.014068008,9571.005325,499.6123116
14-4866,R. Weir,Frozen,2013,12,7,07/12/2013,James Alton,QCC,Trapline TR0613T005,8,690057,5908870,<1 km,M-MACA,M,Adult,Adult,1,A,,BR,Good,,1.24,638,211,93,na,155,"Teeth chipped, bit worn",,HG Landfill,7S mainline,,MFLNR,MFLNR,Destroyed,Victoria,JM_4_MOE,JM_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-22.55241067,10.59346932,-19.39933803,6.594628014,-22.40931555,8.78970953,-23.39824003,9.481941906,3141300,1.076391214,0.071231285,4887.037966,499.1461023
14-4867,R. Weir,Frozen,2013,12,9,09/12/2013,James Alton,QCC,Trapline TR0613T005,8,690057,5908870,<1 km,M-MACA,M,Juvenile,Juvenile,0,A,,,Good,,1.1,660,215,90,na,144,,,HG Landfill,7S mainline,,MFLNR,MFLNR,Destroyed,Victoria,JM_4_MOE,JM_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-22.28876282,11.85333225,-21.28299105,6.711026167,-21.22339026,9.843880548,-23.2237816,10.07528394,3141300,1.076391214,0.071231285,4887.037966,499.1461023
14-4868,R. Weir,Frozen,2014,1,11,11/01/2014,James Alton,QCC,Trapline TR0613T009,8,681239,5917909,<1 km,M-MACA,M,Adult,Juvenile,0,A,,,Excellent,tip of tail missing,1.16,,,88,na,152,lots of omental and renal fat,,HG Landfill,22S mainline,,MFLNR,MFLNR,Destroyed,Victoria,JM_4_MOE,JM_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-25.04775429,9.976393603,-21.80452365,7.691221139,-20.94014034,10.90398499,-20.9293592,13.06572781,2914800,0.28441044,0.087164073,10619.16822,499.6571221
14-4869,R. Weir,Frozen,2013,12,28,28/12/2013,James Alton,QCC,Trapline TR0613T009,8,680324,5917968,<1 km,M-MACA,M,Adult,Adult,6,B,5-6,BR,Obese,,1.5,660,210,95,na,168,old male,"MT photos: 960, 961",HG Landfill,23S mainline,"P1000960, P1000961",MFLNR,MFLNR,Destroyed,Victoria,JM_4_MOE,JM_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-25.92004644,7.928374674,-22.50194567,6.953011801,-23.79616206,7.047261749,-24.23132804,7.652470627,518900,0.231360576,0.079674912,9842.674098,499.8424693
14-4870,R. Weir,Frozen,2013,12,20,20/12/2013,James Alton,QCC,Trapline TR0613T009,8,679827,5920215,<1 km,M-MACA,F,Adult,Juvenile,0,A,,,Excellent,,0.85,590,197,82,na,127,,,HG Landfill,26S mainline,,MFLNR,MFLNR,Destroyed,Victoria,JM_4_MOE,JM_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-22.37011141,10.27405352,-21.15516443,5.217249872,-21.04795173,9.965515666,-21.02148894,10.59742493,2931300,0.215104373,0.038934561,10728.39454,499.9057709
14-4871,R. Weir,Frozen,2013,12,5,05/12/2013,James Alton,QCC,Trapline TR0613T005,8,690057,5908870,<1 km,M-MACA,M,Adult,Adult,2,B,2-3,BR,Excellent,,1.23,685,213,94,na,150,,,HG Landfill,7S main,,MFLNR,MFLNR,Destroyed,Victoria,JM_4_MOE,JM_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-26.75901507,6.820802872,-21.01097601,7.149050795,-22.92583012,5.984190601,-22.55927139,6.143404047,3141300,1.076391214,0.071231285,4887.037966,499.1461023
14-4872,R. Weir,Frozen,2014,1,7,07/01/2014,James Alton,QCC,Trapline TR0613T009,8,681239,5917909,<1 km,M-MACA,M,Adult,Adult,1,A,,,Excellent,,1.3,632,215,90,na,157,Fat!!,,HG Landfill,"22S mainline
Jan 7 2014",,MFLNR,MFLNR,Destroyed,Victoria,JM_4_MOE,JM_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-27.44410745,10.13165144,-22.56637028,7.358363263,-22.44753959,9.993204961,-23.78832124,8.335802872,2914800,0.28441044,0.087164073,10619.16822,499.6571221
14-4873,R. Weir,Frozen,2014,1,12,12/01/2014,James Alton,QCC,Trapline TR0613T009,8,679254,5921722,<1 km,M-MACA,M,Adult,Adult,2,B,2-3,BR,Excellent,,1.31,628,210,93,na,149,,,HG Landfill,28S mainline,,MFLNR,MFLNR,Destroyed,Victoria,JM_4_MOE,JM_4_MOE,MOE,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-25.01345066,7.589180809,-21.43842822,5.343858389,-23.43450386,6.822780679,-24.2764128,6.863325718,2832700,0.228336236,0.033589326,11364.061,499.6786768
14-4874,R. Weir,Frozen,2014,1,9,09/01/2014,James Alton,QCC,Trapline TR0613T009,8,679827,5920215,<1 km,M-MACA,M,Juvenile,Juvenile,0,A,,,Good,,1.04,645,215,91,na,134,,,HG Landfill,"26S mainline
Jan 9 2014",,MFLNR,MFLNR,Destroyed,Victoria,JM_4_MOE,JM_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-24.71157877,6.914748695,-20.98745591,6.917275526,-23.99120267,6.765424282,-24.82429068,6.5666547,2931300,0.215104373,0.038934561,10728.39454,499.9057709
14-4875,R. Weir,Frozen,2014,1,7,07/01/2014,James Alton,QCC,Trapline TR0613T009,8,679827,5920215,<1 km,M-MACA,F,Adult,Juvenile,0,A,,BR,Good,,0.74,575,184,81,na,120,,,HG Landfill,26S mainline,,MFLNR,MFLNR,Destroyed,Victoria,JM_4_MOE,JM_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-24.31071642,9.136814621,-21.15414182,7.953627501,-22.7004063,7.251964752,-23.02090016,7.499190601,2931300,0.215104373,0.038934561,10728.39454,499.9057709
14-4876,R. Weir,Frozen,2013,12,26,26/12/2013,James Alton,QCC,Trapline TR0613T009,8,679732,5922591,<1 km,M-MACA,M,Juvenile,Adult,1,A,,,Good,,1.1,620,192,89,na,139,,,HG Landfill,29S mainline,,MFLNR,MFLNR,Destroyed,Victoria,JM_4_MOE,JM_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-27.3745201,9.105169713,-24.05836255,7.136798358,-22.65630164,9.111103133,-23.01501954,8.899477807,1901800,0.265264823,0.022850827,12321.99981,499.7636221
14-4877,R. Weir,Frozen,2014,1,7,07/01/2014,James Alton,QCC,Trapline TR0613T009,8,681888,5927128,<1 km,M-MACA,F,Adult,Adult,1,A,,BR,Good,,0.86,591,195,81,na,129,,,HG Landfill,"34S mainline
(RW: mainline switches from ""S"" to ""N"" at 33.2 km - assume this was supposed to be 34N - this is where the geocoordinate is for)",,MFLNR,MFLNR,Destroyed,Victoria,JM_4_MOE,JM_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-24.35678129,8.710597258,-22.52546576,8.939948692,-20.16585854,8.997379243,-22.11430439,8.24185705,3141400,0.251034413,0.022270206,16886.20425,348.0974354
14-4878,R. Weir,Frozen,2013,12,28,28/12/2013,James Alton,QCC,Trapline TR0613T009,8,679254,5921722,<1 km,M-MACA,M,Adult,Adult,2,A,,BR,Obese,,1.37,650,208,88,na,164,"obese
lots of fat surrounding liver","MT photos: 962, 963",HG Landfill,28S mainline,"P1000962, P1000963",MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-27.1265539,7.014627937,-21.97325478,8.356936891,-24.01962567,7.273720627,-23.96571998,8.166700392,2832700,0.228336236,0.033589326,11364.061,499.6786768
14-4879,R. Weir,Frozen,2014,1,5,05/01/2014,James Alton,QCC,Trapline TR0613T005,8,686877,5913734,<1 km,M-MACA,M,Adult,Adult,1,A,,,Excellent,no tail - nose-sacrum length: 425 mm,1.3,,,92,na,158,part of tail mising,,HG Landfill,14S mainline,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-24.21760659,8.910355744,-22.29333263,7.611580298,-21.58406837,9.624343995,-21.90456223,9.973426893,1832900,0.606214812,0.065907459,10586.03597,498.3844724
14-4880,R. Weir,Frozen,2013,12,28,28/12/2013,James Alton,QCC,Trapline TR0613T009,8,679827,5920215,<1 km,M-MACA,M,Adult,Adult,5,A,,,Obese,,1.41,650,210,88,na,158,,,HG Landfill,26S mainline,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-25.3564869,8.633462794,-21.24310915,6.915233453,-23.04932317,6.858381201,-23.10322886,5.898156005,2931300,0.215104373,0.038934561,10728.39454,499.9057709
14-4881,R. Weir,Frozen,2014,1,4,04/01/2014,James Alton,QCC,Trapline TR0613T009,8,680539,5923692,<1 km,M-MACA,M,Juvenile,Juvenile,0,A,,BR,Excellent,,1.09,620,195,94,na,139,portions of liver light coloured,,HG Landfill,31S mainline,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-23.95297863,9.625332898,-21.52637293,6.782498717,-21.73304411,5.960456919,-22.84252132,6.291739556,2501400,0.293066707,0.020745502,13675.47648,499.7028533
14-4882,R. Weir,Frozen,2013,12,26,26/12/2013,James Alton,QCC,Trapline TR0613T009,8,682140,5916227,<1 km,M-MACA,F,Adult,Juvenile,0,A,,BR,Good,,0.76,578,187,83,na,126,broken canines,,HG Landfill,20S mainline,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-24.07941199,9.453263708,-22.87826722,9.788429964,-19.51703,10.26020888,-20.21976424,9.172415144,2951400,0.555989696,0.057621471,10807.818,499.5949912
14-4883,R. Weir,Frozen,2014,1,1,01/01/2014,James Alton,QCC,Trapline TR0613T009,8,679732,5922591,<1 km,M-MACA,M,Juvenile,Juvenile,0,A,,,Obese,,1.19,665,222,93,na,149,"obese, but no fat around heart",,HG Landfill,29S mailine,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-24.55084179,10.81300587,-21.40161415,7.404309903,-21.38510735,10.06935052,-23.23848315,9.582810052,1901800,0.265264823,0.022850827,12321.99981,499.7636221
14-4884,R. Weir,Frozen,2014,1,1,01/01/2014,James Alton,QCC,Trapline TR0613T005,8,689334,5911211,<1 km,M-MACA,F,Juvenile,Juvenile,0,A,,,Excellent,,0.81,565,165,82,na,125,young uterus,,HG Landfill,10 S mainline,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-23.45116562,9.416674282,-22.29333263,7.333858389,-20.4295064,9.342506527,-21.14204167,9.773668407,3140700,0.867960697,0.05664824,7334.591248,499.3098553
14-4885,R. Weir,Frozen,2013,12,30,30/12/2013,James Alton,QCC,Trapline TR0613T009,8,679827,5920215,<1 km,M-MACA,M,Adult,Adult,3,B,3-4,BR,Excellent,,1.19,655,205,95,na,155,"Flesh very pale
very pale liver
enlarged gallbladder
heart encased in fat","MT photos: 964, 965, 966, 967",HG Landfill,26 S mainline,"P1000964, P1000965, P1000966, P1000967",MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-24.77136509,7.799817232,-23.35685008,6.67018471,-22.01433382,9.146703655,-23.68541036,8.674996736,2931300,0.215104373,0.038934561,10728.39454,499.9057709
14-4886,R. Weir,Frozen,2014,1,5,05/01/2014,James Alton,QCC,Trapline TR0613T009,8,679827,5920215,<1 km,M-MACA,F,Juvenile,Juvenile,0,A,,,Good,,0.82,590,185,82,na,124,"lower end of ""good"" condition",,HG Landfill,26 S mainline,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-22.58377398,11.01375326,-21.20220463,8.103719856,-18.76235027,11.35294713,-18.86036062,11.97002285,2931300,0.215104373,0.038934561,10728.39454,499.9057709
14-4887,R. Weir,Frozen,2013,12,9,09/12/2013,James Alton,QCC,Trapline TR0613T005,8,686076,5914254,<1 km,M-MACA,F,Juvenile,Juvenile,0,A,,BR,Good,,0.84,589,190,84,na,124,,,HG Landfill,15 S mainline,,MFLNR,MFLNR,Victoria,Victoria,JP_4_MOE,JP_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,MFLNR,-20.7901845,11.88695496,-19.07516973,6.294443304,-19.62484139,10.7052154,-20.85291113,10.6458812,3141200,0.690613721,0.069607774,11331.64326,497.6244866
14-4888,R. Weir,Frozen,2013,12,8,08/12/2013,James Alton,QCC,Trapline TR0613T005,8,682647,5915466,<1 km,M-MACA,M,Juvenile,Juvenile,0,A,,,Excellent,,1.05,625,205,86,na,142,big single lobe liver,,HG Landfill,19 S mainline,,MFLNR,MFLNR,Victoria,Victoria,JM_4_MOE,JM_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-23.3639364,8.388214752,-20.67760419,7.523771165,-22.05157776,8.808498695,-20.57848213,9.700489556,600700,0.697293864,0.039996322,11080.40855,499.961158
14-4889,R. Weir,Frozen,2013,12,5,05/12/2013,James Alton,QCC,Trapline TR0613T005,8,687892,5912391,<1 km,M-MACA,M,Adult,Adult,1,B,1-2,BR,Excellent,,1.35,660,220,97,na,164,broken canine,,HG Landfill,12 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4&5_MOE,DB_4&5_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-21.43509263,11.8701436,-21.43331515,6.779435608,-22.61121688,9.108136423,-20.15703761,11.55765013,2845500,0.721880619,0.075044949,8960.314609,499.932582
14-4890,R. Weir,Frozen,2014,1,5,05/01/2014,James Alton,QCC,Trapline TR0613T009,8,681239,5917909,<1 km,M-MACA,M,Adult,Adult,1,A,,BR,Excellent,tip of tail missing - nose-sacrum length: 430,1.14,,,92,na,143,"liver is pale
swollen gallbladder",,HG Landfill,22 S mainline,,MFLNR,MFLNR,Victoria,Victoria,DB_4_MOE,DB_4_MOE,,UBC,2014-07-16,Disposed of,MOE,MFLNR,MFLNR,2015-02-24,,-23.77263958,9.985293734,-20.85553884,7.598306824,-22.28876282,7.71477154,-21.49977946,10.86047324,2914800,0.28441044,0.087164073,10619.16822,499.6571221
